Country,year,sex,age,suicides_no,population,suicides.100k.pop,country.year,HDI.for.year,gdp_for_year....,gdp_per_capita....,generation
Georgia,1990,female,75+ years,8,136200,5.87,Georgia1990,NA,"7,753,501,868",1555,G.I. Generation
Georgia,1990,male,25-34 years,23,422400,5.45,Georgia1990,NA,"7,753,501,868",1555,Boomers
Georgia,1990,male,15-24 years,23,424000,5.42,Georgia1990,NA,"7,753,501,868",1555,Generation X
Georgia,1990,female,55-74 years,18,525250,3.43,Georgia1990,NA,"7,753,501,868",1555,G.I. Generation
Georgia,1990,female,35-54 years,22,682450,3.22,Georgia1990,NA,"7,753,501,868",1555,Silent
Georgia,1990,female,15-24 years,4,415850,0.96,Georgia1990,NA,"7,753,501,868",1555,Generation X
Georgia,1990,female,25-34 years,4,451450,0.89,Georgia1990,NA,"7,753,501,868",1555,Boomers
Georgia,1990,female,5-14 years,0,428500,0,Georgia1990,NA,"7,753,501,868",1555,Generation X
Georgia,1990,male,5-14 years,0,444500,0,Georgia1990,NA,"7,753,501,868",1555,Generation X
Germany,1990,male,75+ years,1516,1717700,88.26,Germany1990,0.801,"1,764,967,948,917",23546,G.I. Generation
Germany,1990,male,55-74 years,2406,6593100,36.49,Germany1990,0.801,"1,764,967,948,917",23546,G.I. Generation
Germany,1990,male,35-54 years,3302,11127100,29.68,Germany1990,0.801,"1,764,967,948,917",23546,Silent
Germany,1990,female,75+ years,1174,3978800,29.51,Germany1990,0.801,"1,764,967,948,917",23546,G.I. Generation
Germany,1990,male,25-34 years,1488,6721200,22.14,Germany1990,0.801,"1,764,967,948,917",23546,Boomers
Germany,1990,female,55-74 years,1417,8537700,16.6,Germany1990,0.801,"1,764,967,948,917",23546,G.I. Generation
Germany,1990,male,15-24 years,800,5565400,14.37,Germany1990,0.801,"1,764,967,948,917",23546,Generation X
Germany,1990,female,35-54 years,1128,10742900,10.5,Germany1990,0.801,"1,764,967,948,917",23546,Silent
Germany,1990,female,25-34 years,434,6328000,6.86,Germany1990,0.801,"1,764,967,948,917",23546,Boomers
Germany,1990,female,15-24 years,228,5288600,4.31,Germany1990,0.801,"1,764,967,948,917",23546,Generation X
Germany,1990,male,5-14 years,22,4290400,0.51,Germany1990,0.801,"1,764,967,948,917",23546,Generation X
Germany,1990,female,5-14 years,9,4067900,0.22,Germany1990,0.801,"1,764,967,948,917",23546,Generation X
Greece,1990,male,75+ years,46,258700,17.78,Greece1990,0.759,"97,891,090,929",10179,G.I. Generation
Greece,1990,male,55-74 years,68,979100,6.95,Greece1990,0.759,"97,891,090,929",10179,G.I. Generation
Greece,1990,male,25-34 years,46,709800,6.48,Greece1990,0.759,"97,891,090,929",10179,Boomers
Greece,1990,male,35-54 years,68,1265600,5.37,Greece1990,0.759,"97,891,090,929",10179,Silent
Greece,1990,male,15-24 years,40,782500,5.11,Greece1990,0.759,"97,891,090,929",10179,Generation X
Greece,1990,female,75+ years,9,349600,2.57,Greece1990,0.759,"97,891,090,929",10179,G.I. Generation
Greece,1990,female,55-74 years,25,1091300,2.29,Greece1990,0.759,"97,891,090,929",10179,G.I. Generation
Greece,1990,female,35-54 years,25,1288000,1.94,Greece1990,0.759,"97,891,090,929",10179,Silent
Greece,1990,female,25-34 years,11,720200,1.53,Greece1990,0.759,"97,891,090,929",10179,Boomers
Greece,1990,female,15-24 years,8,754700,1.06,Greece1990,0.759,"97,891,090,929",10179,Generation X
Greece,1990,male,5-14 years,3,728500,0.41,Greece1990,0.759,"97,891,090,929",10179,Generation X
Greece,1990,female,5-14 years,0,689000,0,Greece1990,0.759,"97,891,090,929",10179,Generation X
Grenada,1990,male,35-54 years,1,6200,16.13,Grenada1990,NA,"278,098,778",3391,Silent
Grenada,1990,male,15-24 years,1,11600,8.62,Grenada1990,NA,"278,098,778",3391,Generation X
Grenada,1990,female,15-24 years,0,10500,0,Grenada1990,NA,"278,098,778",3391,Generation X
Grenada,1990,female,25-34 years,0,4900,0,Grenada1990,NA,"278,098,778",3391,Boomers
Grenada,1990,female,35-54 years,0,6600,0,Grenada1990,NA,"278,098,778",3391,Silent
Grenada,1990,female,5-14 years,0,11500,0,Grenada1990,NA,"278,098,778",3391,Generation X
Grenada,1990,female,55-74 years,0,5000,0,Grenada1990,NA,"278,098,778",3391,G.I. Generation
Grenada,1990,female,75+ years,0,1700,0,Grenada1990,NA,"278,098,778",3391,G.I. Generation
Grenada,1990,male,25-34 years,0,5500,0,Grenada1990,NA,"278,098,778",3391,Boomers
Grenada,1990,male,5-14 years,0,13200,0,Grenada1990,NA,"278,098,778",3391,Generation X
Grenada,1990,male,55-74 years,0,4400,0,Grenada1990,NA,"278,098,778",3391,G.I. Generation
Grenada,1990,male,75+ years,0,900,0,Grenada1990,NA,"278,098,778",3391,G.I. Generation
Guatemala,1990,male,75+ years,4,41850,9.56,Guatemala1990,0.483,"7,650,125,217",996,G.I. Generation
Guatemala,1990,male,25-34 years,45,555151,8.11,Guatemala1990,0.483,"7,650,125,217",996,Boomers
Guatemala,1990,male,35-54 years,37,628848,5.88,Guatemala1990,0.483,"7,650,125,217",996,Silent
Guatemala,1990,male,15-24 years,34,905373,3.76,Guatemala1990,0.483,"7,650,125,217",996,Generation X
Guatemala,1990,male,55-74 years,9,311351,2.89,Guatemala1990,0.483,"7,650,125,217",996,G.I. Generation
Guatemala,1990,female,35-54 years,8,684099,1.17,Guatemala1990,0.483,"7,650,125,217",996,Silent
Guatemala,1990,female,15-24 years,10,915256,1.09,Guatemala1990,0.483,"7,650,125,217",996,Generation X
Guatemala,1990,female,25-34 years,6,603010,1,Guatemala1990,0.483,"7,650,125,217",996,Boomers
Guatemala,1990,female,55-74 years,1,322429,0.31,Guatemala1990,0.483,"7,650,125,217",996,G.I. Generation
Guatemala,1990,female,5-14 years,2,1312953,0.15,Guatemala1990,0.483,"7,650,125,217",996,Generation X
Guatemala,1990,male,5-14 years,2,1354763,0.15,Guatemala1990,0.483,"7,650,125,217",996,Generation X
Guatemala,1990,female,75+ years,0,48909,0,Guatemala1990,0.483,"7,650,125,217",996,G.I. Generation
Guyana,1990,male,25-34 years,23,61238,37.56,Guyana1990,0.542,"396,582,263",607,Boomers
Guyana,1990,male,55-74 years,7,24349,28.75,Guyana1990,0.542,"396,582,263",607,G.I. Generation
Guyana,1990,male,75+ years,1,4090,24.45,Guyana1990,0.542,"396,582,263",607,G.I. Generation
Guyana,1990,male,15-24 years,18,79963,22.51,Guyana1990,0.542,"396,582,263",607,Generation X
Guyana,1990,male,35-54 years,13,62629,20.76,Guyana1990,0.542,"396,582,263",607,Silent
Guyana,1990,female,15-24 years,12,84613,14.18,Guyana1990,0.542,"396,582,263",607,Generation X
Guyana,1990,female,55-74 years,3,25481,11.77,Guyana1990,0.542,"396,582,263",607,G.I. Generation
Guyana,1990,female,35-54 years,4,63070,6.34,Guyana1990,0.542,"396,582,263",607,Silent
Guyana,1990,female,25-34 years,4,63874,6.26,Guyana1990,0.542,"396,582,263",607,Boomers
Guyana,1990,male,5-14 years,2,89344,2.24,Guyana1990,0.542,"396,582,263",607,Generation X
Guyana,1990,female,5-14 years,2,89480,2.24,Guyana1990,0.542,"396,582,263",607,Generation X
Guyana,1990,female,75+ years,0,5295,0,Guyana1990,0.542,"396,582,263",607,G.I. Generation
Iceland,1990,male,15-24 years,10,21400,46.73,Iceland1990,0.802,"6,372,905,073",27316,Generation X
Iceland,1990,male,55-74 years,8,17700,45.2,Iceland1990,0.802,"6,372,905,073",27316,G.I. Generation
Iceland,1990,male,25-34 years,9,21700,41.47,Iceland1990,0.802,"6,372,905,073",27316,Boomers
Iceland,1990,male,35-54 years,8,29800,26.85,Iceland1990,0.802,"6,372,905,073",27316,Silent
Iceland,1990,female,35-54 years,3,28600,10.49,Iceland1990,0.802,"6,372,905,073",27316,Silent
Iceland,1990,female,15-24 years,1,20700,4.83,Iceland1990,0.802,"6,372,905,073",27316,Generation X
Iceland,1990,female,25-34 years,1,21100,4.74,Iceland1990,0.802,"6,372,905,073",27316,Boomers
Iceland,1990,female,5-14 years,0,20600,0,Iceland1990,0.802,"6,372,905,073",27316,Generation X
Iceland,1990,female,55-74 years,0,18700,0,Iceland1990,0.802,"6,372,905,073",27316,G.I. Generation
Iceland,1990,female,75+ years,0,6800,0,Iceland1990,0.802,"6,372,905,073",27316,G.I. Generation
Iceland,1990,male,5-14 years,0,21500,0,Iceland1990,0.802,"6,372,905,073",27316,Generation X
Iceland,1990,male,75+ years,0,4700,0,Iceland1990,0.802,"6,372,905,073",27316,G.I. Generation
Ireland,1990,male,55-74 years,58,244600,23.71,Ireland1990,0.77,"49,364,681,256",15312,G.I. Generation
Ireland,1990,male,25-34 years,51,236900,21.53,Ireland1990,0.77,"49,364,681,256",15312,Boomers
Ireland,1990,male,35-54 years,85,406100,20.93,Ireland1990,0.77,"49,364,681,256",15312,Silent
Ireland,1990,male,75+ years,9,61000,14.75,Ireland1990,0.77,"49,364,681,256",15312,G.I. Generation
Ireland,1990,male,15-24 years,44,309400,14.22,Ireland1990,0.77,"49,364,681,256",15312,Generation X
Ireland,1990,female,25-34 years,20,238400,8.39,Ireland1990,0.77,"49,364,681,256",15312,Boomers
Ireland,1990,female,55-74 years,20,269100,7.43,Ireland1990,0.77,"49,364,681,256",15312,G.I. Generation
Ireland,1990,female,35-54 years,29,391200,7.41,Ireland1990,0.77,"49,364,681,256",15312,Silent
Ireland,1990,female,15-24 years,12,291300,4.12,Ireland1990,0.77,"49,364,681,256",15312,Generation X
Ireland,1990,female,75+ years,2,97900,2.04,Ireland1990,0.77,"49,364,681,256",15312,G.I. Generation
Ireland,1990,male,5-14 years,4,347800,1.15,Ireland1990,0.77,"49,364,681,256",15312,Generation X
Ireland,1990,female,5-14 years,0,330300,0,Ireland1990,0.77,"49,364,681,256",15312,Generation X
Israel,1990,male,75+ years,29,80000,36.25,Israel1990,0.785,"58,986,997,917",14193,G.I. Generation
Israel,1990,male,55-74 years,52,256800,20.25,Israel1990,0.785,"58,986,997,917",14193,G.I. Generation
Israel,1990,male,25-34 years,48,336200,14.28,Israel1990,0.785,"58,986,997,917",14193,Boomers
Israel,1990,male,35-54 years,61,481600,12.67,Israel1990,0.785,"58,986,997,917",14193,Silent
Israel,1990,female,75+ years,12,98300,12.21,Israel1990,0.785,"58,986,997,917",14193,G.I. Generation
Israel,1990,female,55-74 years,23,303300,7.58,Israel1990,0.785,"58,986,997,917",14193,G.I. Generation
Israel,1990,male,15-24 years,28,418200,6.7,Israel1990,0.785,"58,986,997,917",14193,Generation X
Israel,1990,female,35-54 years,22,495800,4.44,Israel1990,0.785,"58,986,997,917",14193,Silent
Israel,1990,female,25-34 years,14,332700,4.21,Israel1990,0.785,"58,986,997,917",14193,Boomers
Israel,1990,female,15-24 years,13,399100,3.26,Israel1990,0.785,"58,986,997,917",14193,Generation X
Israel,1990,male,5-14 years,2,490200,0.41,Israel1990,0.785,"58,986,997,917",14193,Generation X
Israel,1990,female,5-14 years,0,463900,0,Israel1990,0.785,"58,986,997,917",14193,Generation X
Italy,1990,male,75+ years,670,1332200,50.29,Italy1990,0.766,"1,177,326,294,441",21472,G.I. Generation
Italy,1990,male,55-74 years,980,5266600,18.61,Italy1990,0.766,"1,177,326,294,441",21472,G.I. Generation
Italy,1990,male,35-54 years,802,7381900,10.86,Italy1990,0.766,"1,177,326,294,441",21472,Silent
Italy,1990,male,25-34 years,443,4477900,9.89,Italy1990,0.766,"1,177,326,294,441",21472,Boomers
Italy,1990,female,75+ years,224,2358600,9.5,Italy1990,0.766,"1,177,326,294,441",21472,G.I. Generation
Italy,1990,female,55-74 years,452,6242800,7.24,Italy1990,0.766,"1,177,326,294,441",21472,G.I. Generation
Italy,1990,male,15-24 years,275,4678600,5.88,Italy1990,0.766,"1,177,326,294,441",21472,Generation X
Italy,1990,female,35-54 years,317,7539900,4.2,Italy1990,0.766,"1,177,326,294,441",21472,Silent
Italy,1990,female,25-34 years,132,4391200,3.01,Italy1990,0.766,"1,177,326,294,441",21472,Boomers
Italy,1990,female,15-24 years,90,4489200,2,Italy1990,0.766,"1,177,326,294,441",21472,Generation X
Italy,1990,male,5-14 years,11,3426400,0.32,Italy1990,0.766,"1,177,326,294,441",21472,Generation X
Italy,1990,female,5-14 years,6,3246400,0.18,Italy1990,0.766,"1,177,326,294,441",21472,Generation X
Jamaica,1990,male,15-24 years,2,249414,0.8,Jamaica1990,0.671,"4,592,224,067",2155,Generation X
Jamaica,1990,male,35-54 years,1,193270,0.52,Jamaica1990,0.671,"4,592,224,067",2155,Silent
Jamaica,1990,female,15-24 years,0,251027,0,Jamaica1990,0.671,"4,592,224,067",2155,Generation X
Jamaica,1990,female,25-34 years,0,193286,0,Jamaica1990,0.671,"4,592,224,067",2155,Boomers
Jamaica,1990,female,35-54 years,0,200357,0,Jamaica1990,0.671,"4,592,224,067",2155,Silent
Jamaica,1990,female,5-14 years,0,272608,0,Jamaica1990,0.671,"4,592,224,067",2155,Generation X
Jamaica,1990,female,55-74 years,0,122353,0,Jamaica1990,0.671,"4,592,224,067",2155,G.I. Generation
Jamaica,1990,female,75+ years,0,45109,0,Jamaica1990,0.671,"4,592,224,067",2155,G.I. Generation
Jamaica,1990,male,25-34 years,0,182411,0,Jamaica1990,0.671,"4,592,224,067",2155,Boomers
Jamaica,1990,male,5-14 years,0,277197,0,Jamaica1990,0.671,"4,592,224,067",2155,Generation X
Jamaica,1990,male,55-74 years,0,110297,0,Jamaica1990,0.671,"4,592,224,067",2155,G.I. Generation
Jamaica,1990,male,75+ years,0,33712,0,Jamaica1990,0.671,"4,592,224,067",2155,G.I. Generation
Japan,1990,male,75+ years,1405,2232400,62.94,Japan1990,0.814,"3,132,817,652,848",26949,G.I. Generation
Japan,1990,female,75+ years,1814,3736000,48.55,Japan1990,0.814,"3,132,817,652,848",26949,G.I. Generation
Japan,1990,male,55-74 years,3654,10761800,33.95,Japan1990,0.814,"3,132,817,652,848",26949,G.I. Generation
Japan,1990,male,35-54 years,4822,18296000,26.36,Japan1990,0.814,"3,132,817,652,848",26949,Silent
Japan,1990,female,55-74 years,2607,12588300,20.71,Japan1990,0.814,"3,132,817,652,848",26949,G.I. Generation
Japan,1990,male,25-34 years,1462,7927600,18.44,Japan1990,0.814,"3,132,817,652,848",26949,Boomers
Japan,1990,female,35-54 years,2184,18325800,11.92,Japan1990,0.814,"3,132,817,652,848",26949,Silent
Japan,1990,male,15-24 years,875,9545600,9.17,Japan1990,0.814,"3,132,817,652,848",26949,Generation X
Japan,1990,female,25-34 years,698,7761900,8.99,Japan1990,0.814,"3,132,817,652,848",26949,Boomers
Japan,1990,female,15-24 years,434,9143500,4.75,Japan1990,0.814,"3,132,817,652,848",26949,Generation X
Japan,1990,male,5-14 years,30,8168200,0.37,Japan1990,0.814,"3,132,817,652,848",26949,Generation X
Japan,1990,female,5-14 years,17,7764300,0.22,Japan1990,0.814,"3,132,817,652,848",26949,Generation X
Kazakhstan,1990,male,75+ years,82,102200,80.23,Kazakhstan1990,0.69,"26,932,728,899",1823,G.I. Generation
Kazakhstan,1990,male,35-54 years,925,1735100,53.31,Kazakhstan1990,0.69,"26,932,728,899",1823,Silent
Kazakhstan,1990,male,55-74 years,356,706400,50.4,Kazakhstan1990,0.69,"26,932,728,899",1823,G.I. Generation
Kazakhstan,1990,male,25-34 years,602,1455200,41.37,Kazakhstan1990,0.69,"26,932,728,899",1823,Boomers
Kazakhstan,1990,female,75+ years,85,291100,29.2,Kazakhstan1990,0.69,"26,932,728,899",1823,G.I. Generation
Kazakhstan,1990,male,15-24 years,375,1425100,26.31,Kazakhstan1990,0.69,"26,932,728,899",1823,Generation X
Kazakhstan,1990,female,55-74 years,188,1060900,17.72,Kazakhstan1990,0.69,"26,932,728,899",1823,G.I. Generation
Kazakhstan,1990,female,15-24 years,170,1338900,12.7,Kazakhstan1990,0.69,"26,932,728,899",1823,Generation X
Kazakhstan,1990,female,35-54 years,225,1845400,12.19,Kazakhstan1990,0.69,"26,932,728,899",1823,Silent
Kazakhstan,1990,female,25-34 years,104,1453700,7.15,Kazakhstan1990,0.69,"26,932,728,899",1823,Boomers
Kazakhstan,1990,male,5-14 years,53,1698000,3.12,Kazakhstan1990,0.69,"26,932,728,899",1823,Generation X
Kazakhstan,1990,female,5-14 years,7,1661900,0.42,Kazakhstan1990,0.69,"26,932,728,899",1823,Generation X
Kyrgyzstan,1990,male,75+ years,14,25200,55.56,Kyrgyzstan1990,0.615,"2,674,000,000",715,G.I. Generation
Kyrgyzstan,1990,male,35-54 years,149,354400,42.04,Kyrgyzstan1990,0.615,"2,674,000,000",715,Silent
Kyrgyzstan,1990,male,55-74 years,68,175000,38.86,Kyrgyzstan1990,0.615,"2,674,000,000",715,G.I. Generation
Kyrgyzstan,1990,male,25-34 years,99,350200,28.27,Kyrgyzstan1990,0.615,"2,674,000,000",715,Boomers
Kyrgyzstan,1990,female,75+ years,15,59800,25.08,Kyrgyzstan1990,0.615,"2,674,000,000",715,G.I. Generation
Kyrgyzstan,1990,female,55-74 years,38,242200,15.69,Kyrgyzstan1990,0.615,"2,674,000,000",715,G.I. Generation
Kyrgyzstan,1990,male,15-24 years,54,400300,13.49,Kyrgyzstan1990,0.615,"2,674,000,000",715,Generation X
Kyrgyzstan,1990,female,35-54 years,36,368500,9.77,Kyrgyzstan1990,0.615,"2,674,000,000",715,Silent
Kyrgyzstan,1990,female,15-24 years,31,390100,7.95,Kyrgyzstan1990,0.615,"2,674,000,000",715,Generation X
Kyrgyzstan,1990,female,25-34 years,23,357500,6.43,Kyrgyzstan1990,0.615,"2,674,000,000",715,Boomers
Kyrgyzstan,1990,male,5-14 years,16,511400,3.13,Kyrgyzstan1990,0.615,"2,674,000,000",715,Generation X
Kyrgyzstan,1990,female,5-14 years,4,502700,0.8,Kyrgyzstan1990,0.615,"2,674,000,000",715,Generation X
Luxembourg,1990,male,75+ years,4,7700,51.95,Luxembourg1990,0.779,"13,229,247,948",36871,G.I. Generation
Luxembourg,1990,male,55-74 years,12,32400,37.04,Luxembourg1990,0.779,"13,229,247,948",36871,G.I. Generation
Luxembourg,1990,male,35-54 years,16,53800,29.74,Luxembourg1990,0.779,"13,229,247,948",36871,Silent
Luxembourg,1990,male,25-34 years,9,33200,27.11,Luxembourg1990,0.779,"13,229,247,948",36871,Boomers
Luxembourg,1990,female,75+ years,4,15500,25.81,Luxembourg1990,0.779,"13,229,247,948",36871,G.I. Generation
Luxembourg,1990,male,15-24 years,6,25900,23.17,Luxembourg1990,0.779,"13,229,247,948",36871,Generation X
Luxembourg,1990,female,35-54 years,10,51100,19.57,Luxembourg1990,0.779,"13,229,247,948",36871,Silent
Luxembourg,1990,female,55-74 years,5,39200,12.76,Luxembourg1990,0.779,"13,229,247,948",36871,G.I. Generation
Luxembourg,1990,female,25-34 years,2,32300,6.19,Luxembourg1990,0.779,"13,229,247,948",36871,Boomers
Luxembourg,1990,female,15-24 years,0,24700,0,Luxembourg1990,0.779,"13,229,247,948",36871,Generation X
Luxembourg,1990,female,5-14 years,0,21000,0,Luxembourg1990,0.779,"13,229,247,948",36871,Generation X
Luxembourg,1990,male,5-14 years,0,22000,0,Luxembourg1990,0.779,"13,229,247,948",36871,Generation X
Malta,1990,male,35-54 years,4,47400,8.44,Malta1990,0.729,"2,547,163,582",7780,Silent
Malta,1990,male,15-24 years,2,25600,7.81,Malta1990,0.729,"2,547,163,582",7780,Generation X
Malta,1990,male,55-74 years,1,25000,4,Malta1990,0.729,"2,547,163,582",7780,G.I. Generation
Malta,1990,male,25-34 years,1,28600,3.5,Malta1990,0.729,"2,547,163,582",7780,Boomers
Malta,1990,female,15-24 years,0,24100,0,Malta1990,0.729,"2,547,163,582",7780,Generation X
Malta,1990,female,25-34 years,0,27300,0,Malta1990,0.729,"2,547,163,582",7780,Boomers
Malta,1990,female,35-54 years,0,48900,0,Malta1990,0.729,"2,547,163,582",7780,Silent
Malta,1990,female,5-14 years,0,27400,0,Malta1990,0.729,"2,547,163,582",7780,Generation X
Malta,1990,female,55-74 years,0,30200,0,Malta1990,0.729,"2,547,163,582",7780,G.I. Generation
Malta,1990,female,75+ years,0,8400,0,Malta1990,0.729,"2,547,163,582",7780,G.I. Generation
Malta,1990,male,5-14 years,0,28900,0,Malta1990,0.729,"2,547,163,582",7780,Generation X
Malta,1990,male,75+ years,0,5600,0,Malta1990,0.729,"2,547,163,582",7780,G.I. Generation
Mauritius,1990,male,35-54 years,33,107800,30.61,Mauritius1990,0.619,"2,653,480,001",2820,Silent
Mauritius,1990,male,55-74 years,13,48700,26.69,Mauritius1990,0.619,"2,653,480,001",2820,G.I. Generation
Mauritius,1990,male,25-34 years,26,98100,26.5,Mauritius1990,0.619,"2,653,480,001",2820,Boomers
Mauritius,1990,female,15-24 years,23,95400,24.11,Mauritius1990,0.619,"2,653,480,001",2820,Generation X
Mauritius,1990,female,25-34 years,18,97100,18.54,Mauritius1990,0.619,"2,653,480,001",2820,Boomers
Mauritius,1990,male,15-24 years,18,98500,18.27,Mauritius1990,0.619,"2,653,480,001",2820,Generation X
Mauritius,1990,female,55-74 years,4,51800,7.72,Mauritius1990,0.619,"2,653,480,001",2820,G.I. Generation
Mauritius,1990,female,35-54 years,8,115600,6.92,Mauritius1990,0.619,"2,653,480,001",2820,Silent
Mauritius,1990,female,5-14 years,3,103400,2.9,Mauritius1990,0.619,"2,653,480,001",2820,Generation X
Mauritius,1990,male,5-14 years,1,108400,0.92,Mauritius1990,0.619,"2,653,480,001",2820,Generation X
Mauritius,1990,female,75+ years,0,10500,0,Mauritius1990,0.619,"2,653,480,001",2820,G.I. Generation
Mauritius,1990,male,75+ years,0,5800,0,Mauritius1990,0.619,"2,653,480,001",2820,G.I. Generation
Mexico,1990,male,75+ years,87,489000,17.79,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
Mexico,1990,male,55-74 years,224,2709000,8.27,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
Mexico,1990,male,35-54 years,437,6812000,6.42,Mexico1990,0.648,"262,709,948,091",3595,Silent
Mexico,1990,male,25-34 years,387,6347000,6.1,Mexico1990,0.648,"262,709,948,091",3595,Boomers
Mexico,1990,male,15-24 years,472,9501000,4.97,Mexico1990,0.648,"262,709,948,091",3595,Generation X
Mexico,1990,female,15-24 years,114,9327000,1.22,Mexico1990,0.648,"262,709,948,091",3595,Generation X
Mexico,1990,female,55-74 years,34,3073000,1.11,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
Mexico,1990,female,25-34 years,57,6426000,0.89,Mexico1990,0.648,"262,709,948,091",3595,Boomers
Mexico,1990,female,35-54 years,58,7045000,0.82,Mexico1990,0.648,"262,709,948,091",3595,Silent
Mexico,1990,female,75+ years,5,650900,0.77,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
Mexico,1990,male,5-14 years,41,10518000,0.39,Mexico1990,0.648,"262,709,948,091",3595,Generation X
Mexico,1990,female,5-14 years,10,10179000,0.1,Mexico1990,0.648,"262,709,948,091",3595,Generation X
Netherlands,1990,male,75+ years,95,279100,34.04,Netherlands1990,0.829,"314,267,667,675",22425,G.I. Generation
Netherlands,1990,male,25-34 years,204,1287400,15.85,Netherlands1990,0.829,"314,267,667,675",22425,Boomers
Netherlands,1990,male,55-74 years,185,1167900,15.84,Netherlands1990,0.829,"314,267,667,675",22425,G.I. Generation
Netherlands,1990,male,35-54 years,322,2065400,15.59,Netherlands1990,0.829,"314,267,667,675",22425,Silent
Netherlands,1990,female,75+ years,80,535700,14.93,Netherlands1990,0.829,"314,267,667,675",22425,G.I. Generation
Netherlands,1990,female,55-74 years,145,1338000,10.84,Netherlands1990,0.829,"314,267,667,675",22425,G.I. Generation
Netherlands,1990,female,35-54 years,184,1976000,9.31,Netherlands1990,0.829,"314,267,667,675",22425,Silent
Netherlands,1990,male,15-24 years,98,1195500,8.2,Netherlands1990,0.829,"314,267,667,675",22425,Generation X
Netherlands,1990,female,25-34 years,89,1232600,7.22,Netherlands1990,0.829,"314,267,667,675",22425,Boomers
Netherlands,1990,female,15-24 years,41,1147300,3.57,Netherlands1990,0.829,"314,267,667,675",22425,Generation X
Netherlands,1990,male,5-14 years,5,915200,0.55,Netherlands1990,0.829,"314,267,667,675",22425,Generation X
Netherlands,1990,female,5-14 years,2,874200,0.23,Netherlands1990,0.829,"314,267,667,675",22425,Generation X
New Zealand,1990,male,15-24 years,111,283700,39.13,New Zealand1990,0.82,"45,519,034,244",14734,Generation X
New Zealand,1990,male,75+ years,21,56000,37.5,New Zealand1990,0.82,"45,519,034,244",14734,G.I. Generation
New Zealand,1990,male,25-34 years,72,269100,26.76,New Zealand1990,0.82,"45,519,034,244",14734,Boomers
New Zealand,1990,male,35-54 years,99,407200,24.31,New Zealand1990,0.82,"45,519,034,244",14734,Silent
New Zealand,1990,male,55-74 years,58,242600,23.91,New Zealand1990,0.82,"45,519,034,244",14734,G.I. Generation
New Zealand,1990,female,25-34 years,21,280600,7.48,New Zealand1990,0.82,"45,519,034,244",14734,Boomers
New Zealand,1990,female,35-54 years,29,408600,7.1,New Zealand1990,0.82,"45,519,034,244",14734,Silent
New Zealand,1990,female,15-24 years,19,278500,6.82,New Zealand1990,0.82,"45,519,034,244",14734,Generation X
New Zealand,1990,female,55-74 years,17,261400,6.5,New Zealand1990,0.82,"45,519,034,244",14734,G.I. Generation
New Zealand,1990,female,75+ years,6,95600,6.28,New Zealand1990,0.82,"45,519,034,244",14734,G.I. Generation
New Zealand,1990,male,5-14 years,2,257900,0.78,New Zealand1990,0.82,"45,519,034,244",14734,Generation X
New Zealand,1990,female,5-14 years,0,248200,0,New Zealand1990,0.82,"45,519,034,244",14734,Generation X
Norway,1990,male,55-74 years,125,365800,34.17,Norway1990,0.849,"119,791,683,308",30240,G.I. Generation
Norway,1990,male,75+ years,34,110100,30.88,Norway1990,0.849,"119,791,683,308",30240,G.I. Generation
Norway,1990,male,35-54 years,159,546500,29.09,Norway1990,0.849,"119,791,683,308",30240,Silent
Norway,1990,male,25-34 years,92,329000,27.96,Norway1990,0.849,"119,791,683,308",30240,Boomers
Norway,1990,male,15-24 years,74,334200,22.14,Norway1990,0.849,"119,791,683,308",30240,Generation X
Norway,1990,female,55-74 years,55,410600,13.4,Norway1990,0.849,"119,791,683,308",30240,G.I. Generation
Norway,1990,female,35-54 years,62,522500,11.87,Norway1990,0.849,"119,791,683,308",30240,Silent
Norway,1990,female,75+ years,15,188700,7.95,Norway1990,0.849,"119,791,683,308",30240,G.I. Generation
Norway,1990,female,15-24 years,20,318800,6.27,Norway1990,0.849,"119,791,683,308",30240,Generation X
Norway,1990,female,25-34 years,19,311900,6.09,Norway1990,0.849,"119,791,683,308",30240,Boomers
Norway,1990,male,5-14 years,4,268100,1.49,Norway1990,0.849,"119,791,683,308",30240,Generation X
Norway,1990,female,5-14 years,0,255100,0,Norway1990,0.849,"119,791,683,308",30240,Generation X
Paraguay,1990,male,75+ years,3,24057,12.47,Paraguay1990,0.579,"5,695,201,563",1600,G.I. Generation
Paraguay,1990,female,15-24 years,24,398531,6.02,Paraguay1990,0.579,"5,695,201,563",1600,Generation X
Paraguay,1990,male,15-24 years,23,409193,5.62,Paraguay1990,0.579,"5,695,201,563",1600,Generation X
Paraguay,1990,female,55-74 years,6,154872,3.87,Paraguay1990,0.579,"5,695,201,563",1600,G.I. Generation
Paraguay,1990,male,25-34 years,10,310522,3.22,Paraguay1990,0.579,"5,695,201,563",1600,Boomers
Paraguay,1990,female,75+ years,1,32425,3.08,Paraguay1990,0.579,"5,695,201,563",1600,G.I. Generation
Paraguay,1990,male,55-74 years,4,144947,2.76,Paraguay1990,0.579,"5,695,201,563",1600,G.I. Generation
